id;full_name;phone_number;email;city;brand_name;selected_package;tm_class;comments;contact_method;created_date;modified_date;deleted;status;lead_source
1;droopy aggravating;violet;Talia18@gmail.com;Justinastead;miss;helplessly tempting;1352;canine;MESSAGE;2025-04-11T17:24:56;2025-04-11T10:33:11;false;NEW;blah at indeed
2;gosh substance wherever;although station;Garnett.Homenick-Monahan@gmail.com;Port Jazminberg;before pleased;given after;16456;bah courtroom blah;CALL;2025-04-11T20:07:22;2025-04-12T01:38:12;false;LOST;surprisingly out
3;guarantee visor authenticity;mysteriously till by;Jose.Konopelski@yahoo.com;Ivaside;tomorrow orderly;for incite;3598;next determined;MESSAGE;2025-04-11T19:16:20;2025-04-11T16:14:06;true;DOCUMENTS_PENDING;medium versus
4;yet gee rash;geez;Jackie.Trantow@yahoo.com;Carlsbad;twirl;past softdrink fooey;18007;easel minus;CALL;2025-04-12T03:36:01;2025-04-11T20:05:54;true;LOST;gently until abaft
5;decay oof;nor;Giovanni17@gmail.com;New Kadin;aboard;absent deeply vice;18756;that even yet;MESSAGE;2025-04-11T14:56:43;2025-04-12T03:22:15;false;FOLLOW_UP;perform burden so
6;unmask defrag brief;between;Unique_Fritsch@gmail.com;Lakinfield;now;zowie till unnecessarily;21815;whether though way;CALL;2025-04-11T14:52:26;2025-04-11T19:36:08;false;LOST;doubtfully
7;joshingly innocently insure;or;Eileen.Zulauf@gmail.com;South Emmettfort;instill proximal;after because wide;25324;sans;MESSAGE;2025-04-11T21:08:48;2025-04-11T17:21:52;true;CONVERTED;blacken replicate gee
8;warfare unless boo;worriedly;Milford_Franecki@hotmail.com;Beierstad;whereas scornful save;cant mmm;19948;codify;CALL;2025-04-11T20:32:42;2025-04-11T19:38:02;true;NEW;round acrylic
9;beneath phooey;goddess never;Joesph59@gmail.com;La Mirada;furthermore;supposing;24323;though;EMAIL;2025-04-11T11:32:36;2025-04-11T22:19:51;true;CONVERTED;softly blah oof
10;however cautiously;sorrowful boldly powerfully;Geovany34@yahoo.com;Klockotown;among where tyrannise;yum;17748;until into times;MESSAGE;2025-04-11T04:55:16;2025-04-11T23:37:29;true;FOLLOW_UP;whitewash
